season,total_composers,new_composers,repeat_composers,new_composers_p,repeat_composers_p,total_works,new_works,repeat_works,new_works_p,repeat_works_p,new_works_and_composers_p,season_year,decade_bin,decade
1842-43,16,16.0,0.0,1.0,0.0,29,29,0,1.0,0.0,0.5517241379310345,1842,"(1839, 1849]",1840
1843-44,15,6.0,9.0,0.4,0.6,21,17,4,0.8095238095238095,0.19047619047619047,0.35294117647058826,1843,"(1839, 1849]",1840
1844-45,15,5.0,10.0,0.3333333333333333,0.6666666666666666,26,20,6,0.7692307692307693,0.23076923076923078,0.25,1844,"(1839, 1849]",1840
1845-46,19,11.0,8.0,0.5789473684210527,0.42105263157894735,32,23,9,0.71875,0.28125,0.4782608695652174,1845,"(1839, 1849]",1840
1846-47,17,4.0,13.0,0.23529411764705882,0.7647058823529411,24,14,10,0.5833333333333334,0.4166666666666667,0.2857142857142857,1846,"(1839, 1849]",1840
1847-48,11,3.0,8.0,0.2727272727272727,0.7272727272727273,27,13,14,0.48148148148148145,0.5185185185185185,0.23076923076923078,1847,"(1839, 1849]",1840
1848-49,18,6.0,12.0,0.3333333333333333,0.6666666666666666,21,13,8,0.6190476190476191,0.38095238095238093,0.46153846153846156,1848,"(1839, 1849]",1840
1849-50,10,2.0,8.0,0.2,0.8,17,7,10,0.4117647058823529,0.5882352941176471,0.2857142857142857,1849,"(1839, 1849]",1840
1850-51,18,9.0,9.0,0.5,0.5,22,12,10,0.5454545454545454,0.45454545454545453,0.75,1850,"(1849, 1859]",1850
1851-52,16,2.0,14.0,0.125,0.875,27,13,14,0.48148148148148145,0.5185185185185185,0.15384615384615385,1851,"(1849, 1859]",1850
1852-53,22,8.0,14.0,0.36363636363636365,0.6363636363636364,29,18,11,0.6206896551724138,0.3793103448275862,0.4444444444444444,1852,"(1849, 1859]",1850
1853-54,21,5.0,16.0,0.23809523809523808,0.7619047619047619,28,18,10,0.6428571428571429,0.35714285714285715,0.2777777777777778,1853,"(1849, 1859]",1850
1854-55,22,4.0,18.0,0.18181818181818182,0.8181818181818182,33,20,13,0.6060606060606061,0.3939393939393939,0.2,1854,"(1849, 1859]",1850
1855-56,18,3.0,15.0,0.16666666666666666,0.8333333333333334,27,15,12,0.5555555555555556,0.4444444444444444,0.2,1855,"(1849, 1859]",1850
1856-57,22,7.0,15.0,0.3181818181818182,0.6818181818181818,30,16,14,0.5333333333333333,0.4666666666666667,0.4375,1856,"(1849, 1859]",1850
1857-58,19,3.0,16.0,0.15789473684210525,0.8421052631578947,27,12,15,0.4444444444444444,0.5555555555555556,0.25,1857,"(1849, 1859]",1850
1858-59,27,5.0,22.0,0.18518518518518517,0.8148148148148148,39,21,18,0.5384615384615384,0.46153846153846156,0.23809523809523808,1858,"(1849, 1859]",1850
1859-60,22,5.0,17.0,0.22727272727272727,0.7727272727272727,33,13,20,0.3939393939393939,0.6060606060606061,0.38461538461538464,1859,"(1849, 1859]",1850
1860-61,36,13.0,23.0,0.3611111111111111,0.6388888888888888,52,34,18,0.6538461538461539,0.34615384615384615,0.38235294117647056,1860,"(1859, 1869]",1860
1861-62,22,4.0,18.0,0.18181818181818182,0.8181818181818182,34,17,17,0.5,0.5,0.23529411764705882,1861,"(1859, 1869]",1860
1862-63,21,3.0,18.0,0.14285714285714285,0.8571428571428571,37,17,20,0.4594594594594595,0.5405405405405406,0.17647058823529413,1862,"(1859, 1869]",1860
1863-64,26,6.0,20.0,0.23076923076923078,0.7692307692307693,36,15,21,0.4166666666666667,0.5833333333333334,0.4,1863,"(1859, 1869]",1860
1864-65,17,4.0,13.0,0.23529411764705882,0.7647058823529411,29,9,20,0.3103448275862069,0.6896551724137931,0.4444444444444444,1864,"(1859, 1869]",1860
1865-66,17,3.0,14.0,0.17647058823529413,0.8235294117647058,29,11,18,0.3793103448275862,0.6206896551724138,0.2727272727272727,1865,"(1859, 1869]",1860
1866-67,15,2.0,13.0,0.13333333333333333,0.8666666666666667,35,10,25,0.2857142857142857,0.7142857142857143,0.2,1866,"(1859, 1869]",1860
1867-68,13,2.0,11.0,0.15384615384615385,0.8461538461538461,25,5,20,0.2,0.8,0.4,1867,"(1859, 1869]",1860
